Ref,Location,Series,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Ba,Cs,Sc,V,Cr,Co,Ni,Cu,Zn,Y,Zr,Nb,Hf,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Ga
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.82,1.54,9.69,5.05,0.07,11.22,3.4,0.9,8.54,1.11,480,690,2533,,11,87,680,37,449,31,77,25,766,40,,,,,,,,,,,,,,,,,79,131,,26
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.84,1.56,9.82,5.15,0.06,9.85,3.15,0.8,8.96,1.07,589,693,1970,,14,83,696,32,499,34,81,30,845,41,,,,,,,,,,,,,,,,,85,134,,21
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.54,1.54,9.55,5.04,0.07,11.5,2.97,1.5,6.49,1.04,1135,662,1721,,13,83,688,32,421,29,78,47,857,42,22.3,3.53,108,297,,189,35.3,5.48,,1.91,,,,,1.87,0.22,85,125,25,20
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,58.51,1.6,10.03,5.07,0.06,7.73,3.08,1,9.45,1.08,568,703,1797,,13,85,731,25,384,33,80,33,859,41,23.2,4.05,109,302,,193,35,5.52,,1.83,,,,,2.08,0.26,67,128,17,23
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.61,1.55,9.69,5.05,0.07,11.28,3.29,2.07,6.13,1.03,1673,686,1843,,13,81,,36,489,34,77,50,839,42,,,,,,,,,,,,,,,,,963,124,,20
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.29,1.56,9.81,5.13,0.07,11.41,3.56,2.93,5,1.06,1628,682,1813,,10,85,673,33,469,31,79,48,772,42,,,,,,,,,,,,,,,,,86,122,,22
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.65,1.53,9.69,5.08,0.07,10.33,3.37,1.31,8,1.09,656,658,1919,,13,80,681,32,402,35,78,38,832,39,,,,,,,,,,,,,,,,,82,123,,21
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.94,1.54,9.4,5.05,0.07,11.34,2.98,1.77,7.01,1.05,877,691,1831,,13,83,693,33,465,28,78,44,873,41,,,,,,,,,,,,,,,,,81,126,,21
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.86,1.57,9.81,5.16,0.07,10.2,3.23,0.91,9.09,1.11,512,693,2198,,12,82,687,35,454,30,83,29,814,40,,,,,,,,,,,,,,,,,92,135,,21
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.9,1.54,9.51,5.08,0.07,11.49,3.48,0.6,8.73,1.08,622,693,2168,,13,83,685,33,479,33,76,31,846,41,,,,,,,,,,,,,,,,,81,125,,23
