Ref,Location,Series,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Ba,Cs,Sc,V,Cr,Co,Ni,Cu,Zn,Y,Zr,Nb,Hf,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Ga
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,61.7,1.06,12.37,4.15,0.05,2.86,3.38,1.62,7.66,0.72,578,472,1465,44.8,14.6,86.5,341.9,,104.5,,,20.7,563.2,48,16.11,3.77,73.39,196.22,26.45,114.25,21.38,3.55,10.9,,5.01,,1.81,,1.46,0.21,81,82.11,24.19,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,64.06,0.86,16.1,4.89,0.06,3.05,2.74,1.8,5.88,0.88,451,548,1894,,,101,264,8,29,,63,13,337,26,,,71,250,,,,,,,,,,,,,82,76,,20
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,64.03,0.87,15.98,5.03,0.06,3.02,2.73,1.84,5.87,0.89,448,549,1894,,,98,263,8,31,,65,13,331,25,,,69,298,,,,,,,,,,,,,87,76,,23
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57,1.78,9.9,4.8,0.05,10.7,2.84,0.31,8.9,1.18,697,870,2539,45,12,83,477,29.7,505,34,100,28,969,49,27.3,3.8,117,319,46,203,38,6.6,21.8,2.38,8.8,1.12,2.16,0.31,1.96,0.27,114,128,24,23.1
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.4,1.71,10.6,5.5,0.06,8.8,3.56,0.47,10.2,1.43,852,640,1927,14.2,12.8,95,442,28.8,365,37,100,23.8,869,47,24.3,3.2,96,265,39,175,33,5.3,18.7,2.17,7.5,0.97,2.01,0.27,1.65,0.27,70,130,9.4,23.1
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.2,1.64,9.5,5.3,0.07,12,2.69,0.22,9.9,1.12,737,558,1883,44,12.3,88,434,35,470,33,88,24.3,849,41,23.6,3.1,95,263,39,173,33,5.2,18.4,2.12,7.4,1.02,1.92,0.28,1.84,0.29,71,108,26.3,21.7
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.6,1.73,9.9,5.1,0.05,9.2,3.49,0.65,9.3,1.08,432,745,2047,8.6,12.9,93,396,30,424,29.9,91,26.1,905,48,66,3.8,100,278,42,161,27.9,4.9,15.9,1.78,6.2,0.97,2.04,0.28,1.6,0.24,76,127,28.4,25.9
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57,1.68,9.8,5,0.06,10.6,2.91,0.66,10,0.96,866,739,1276,18.2,16,110,866,35,849,40,101,30.4,874,53,38,4.6,114,335,58,250,44,6.3,21.3,2.33,7.3,1.15,2.4,0.34,2.08,0.29,73,140,16.7,32
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,59.8,1.64,9.7,4.2,0.06,4.8,5.4,0.6,9.7,0.93,726,515,1518,15.8,12.9,101,511,24.2,148,36,98,23.5,849,47,23.7,3.3,121,334,48,206,36,5.3,19.8,2.26,8,1,2.08,0.3,2,0.26,83,124,28.3,22.7
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55,1.67,10.4,5.7,0.07,6.8,5.7,0.39,9.8,1.57,614,1675,2669,12.1,11.3,73,658,30,416,22.3,99,24.7,907,57,24.7,3.9,113,294,43,187,35,5.8,19.4,2.18,7.4,0.99,2.02,0.25,1.74,0.24,21.1,138,33,20.6
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,54.6,1.55,8.4,5,0.07,12.1,3.62,0.95,9,1.52,643,1685,2576,10.3,11.5,71,669,29.4,411,22.9,94,26.2,848,59,57,4.2,105,273,40,185,36,4.8,15.6,1.77,6.2,0.94,1.91,0.26,1.52,0.23,20,146,38,22.5
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.1,1.67,9.8,5.2,0.06,11,3.06,1.96,6.7,1.03,360,496,1287,9.9,13.1,82,560,31,442,9.6,70,28.1,905,50,63,3.9,90,250,38,152,27.2,4.9,15.5,1.76,6.4,1.04,2.32,0.32,1.88,0.29,17.6,124,36,24.6
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56,1.62,9.6,5.3,0.05,11.3,2.06,0.61,9.6,1.15,614,838,3276,12,16.6,103,831,35,611,28.9,94,34,991,66,41,5.1,111,318,55,239,43,6.4,21.4,2.33,7.7,1.22,2.69,0.38,2.36,0.35,7.5,177,34,29.4
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,54.6,1.41,8.6,4.9,0.07,12.5,3.61,1.6,8.8,1.34,510,1391,3892,15.3,17.3,89,1426,42,856,37,72,37,1013,89,46,7.1,112,305,50,217,41,6.3,21,2.43,8.6,1.26,2.78,0.38,2.28,0.33,78,220,51,26.2
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.5,1.68,8.3,5.6,0.04,13.3,3.5,0.78,8,1.13,300,680,2402,,14.8,84,446,41,633,28.1,104,22.6,773,48,23.9,6.3,85,232,36,165,32,5.3,20.2,1.87,6.7,0.86,2.64,0.24,1.64,0.2,93,116,31,9.6
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.5,1.96,9.8,5.5,0.04,9.9,4.66,0.47,9.3,0.97,480,584,1881,,15.4,93,536,41,563,33,101,23.6,883,48,27.1,,112,310,47,208,38,6.2,23.9,2.14,7.4,0.92,3,0.25,1.69,0.21,52,137,12.2,14.7
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,58.82,1.49,11.3,5.99,0.08,9.75,3.31,1.03,7.92,0.91,667,540,1647,29.7,,96,743,8,103,,87,22,718,41,22,2.9,100.2,264.5,36.9,157.4,28.9,4.3,15.5,1.6,6.2,,2.5,0.3,2.1,0.3,67.6,108.3,28.2,22
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.23,1.05,12.54,5.88,0.09,8.55,6.51,1.1,6.68,0.88,360,590,2101,21.6,,118,793,13,151,,56,19,428,29,12.9,2.2,77.7,195.1,27.3,120,22.4,3.5,12.4,1.3,5.4,,2.1,0.3,1.7,0.2,84,106.5,20.7,17
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,58.24,1.68,9.9,5.4,0.07,10.37,2.83,1.39,9.42,1.11,651,712,1893,10.5,,83,1021,6,218,,71,29,943,35,19.9,2.1,128,284.8,38.1,164.2,32,4.9,16.5,1.7,6.5,,2.4,0.3,1.8,0.2,116.6,120.2,32.2,20
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,60.48,0.81,15.91,4.96,0.08,3.78,5.89,1.93,5.72,0.76,355,641,1813,38,,101,196,10,38,,44,24,363,30,7.1,1.9,71.2,162.4,21,85.7,16,2.6,9.1,1.1,4.8,,2.1,0.3,1.8,0.3,100,79.2,22.4,14
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,66.42,0.6,16.21,4.99,0.07,2.29,2.73,2.13,4.42,0.4,236,404,1098,,,99,104,9,22,,78,29,206,16,,,28,120,,,,,,,,,,,,,74,44,,23
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,60.31,1.62,12.17,5.42,0.08,9.96,3.44,3.1,3.58,0.86,447,494,1584,,,102,1036,20,209,,84,,589,,,,,,,,,,,,,,,,,,,,,22
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,176,547,,,,,,,,,,,,,,,,,,100.7,19.1,,,,,,,,,,89.4,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,66.5,1.45,9.82,3.59,0.03,2.68,2.25,1.11,7.34,0.54,413,991,,,,,,,,,,,,,,,,225,,107.7,22.8,,,,,,,,,,74.8,123,29,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,,,293,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,,,,,,,,,,,,,113,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,149,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,44.7,1.54,8.89,7.37,0.12,12.9,10.5,1.37,2.96,1.18,,,,,,120,,,,,,,,44,,,171,450,50.2,239,52.2,7.5,22.6,,10,,4,,2.7,0.4,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,46.3,1.55,8.54,7.96,0.13,13.9,9.97,1.13,4.3,1.18,,,,,,135,,,,,,,,44,,,165,422,48.8,239,41.5,7.2,21.3,,9.8,,4,,2.7,0.4,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,47.8,1.27,7.6,6.66,0.12,17.3,8.3,3.05,2.8,1.19,,,,,,108,,,,,,,,43,,,137,360,41.7,208,36.5,6.3,19.4,,9,,3.1,,2.4,0.3,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,48,1.29,7.51,6.91,0.12,17.1,7.66,2.8,3.47,1.3,,,,,,107,,,,,,,,44,,,146,371,44.5,211,38.7,6.7,20.5,,9.4,,3.7,,2.6,0.4,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,54.9,1.4,10.3,5.21,0.1,6.87,6.66,1.16,7.22,0.49,,,,,,90,,,,,,,,10,,,80,239,28.7,138,25.2,4.1,12.5,,6.2,,2.6,,2,0.3,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.1,1.35,10.8,5.3,0.06,7.89,3.89,2.81,3.43,0.52,,,,,,95,,,,,,,,25,,,96.9,259,32,153,25.7,4.4,13.1,,5.8,,2.4,,1.7,0.3,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.3,1.44,11.4,5.72,0.08,9.55,2.32,1,8.31,0.57,,,,,,109,,,,,,,,28,,,63.6,180,23.5,116,21.6,3.5,11.4,,6,,2.5,,2,0.3,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.5,1.37,11.3,4.68,0.06,5.51,4.79,2.97,3.62,0.51,,,,,,99,,,,,,,,24,,,108,265,33,156,27.4,4.4,13.1,,5.8,,2.4,,1.7,0.2,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.5,1.28,12.8,5.49,0.04,2.98,3.95,1.39,8.29,0.89,,,,,,119,,,,,,,,32,,,81.2,205,25.6,127,25.7,4.6,14.6,,7.6,,3.1,,2.5,0.3,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.8,1.58,9.42,5.23,0.06,12.2,2.8,0.54,9.38,0.67,,,,,,91,,,,,,,,31,,,91.4,262,34.5,169,31.1,5,15.1,,6.3,,2.4,,1.6,0.2,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.4,1.62,9.28,5.42,0.08,11.5,3.54,1.09,9.18,0.76,,,,,,92,,,,,,,,40,,,109,301,38.4,184,33.3,5.4,16.1,,6.9,,2.8,,1.8,0.3,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.5,1.42,12,5.09,0.04,7.66,2.51,1.14,8.72,0.65,,,,,,103,,,,,,,,26,,,71.7,215,27.1,134,25.4,4.1,12.7,,5.9,,2.4,,1.7,0.2,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.9,1.49,10.9,5.51,0.06,6.59,3.11,1.3,7.71,0.5,,,,,,100,,,,,,,,30,,,87.2,241,29.9,150,27.4,4.5,13.8,,6.6,,2.8,,2.1,0.3,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,58,1.6,9.56,5.35,0.05,9.68,3.27,1.33,7.35,0.72,,,,,,85,,,,,,,,44,,,96.8,275,36.2,177,33.6,5.5,16.8,,7.5,,2.8,,2,0.3,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,58.2,1.45,12,5.01,0.04,7.67,2.71,1.06,8.43,0.71,,,,,,106,,,,,,,,28,,,71.5,216,27.4,136,25.4,4.1,12.6,,5.9,,2.4,,1.8,0.2,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,46,1.43,8.66,6.91,0.1,16.6,7.36,2.78,3.77,2.1,114,1335,4120,,,,,,,,,,705,51,,,,,,,,,,,,,,,,,,166,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,48.9,1.48,9.35,6.71,0.08,15.7,5.71,1.83,5.1,1.53,153,1032,3140,,,,,,,,,,675,44,,,,,,,,,,,,,,,,,,134,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,53,1.63,10.1,5.77,0.06,2.26,9.98,1.53,6.81,0.63,437,456,1415,,,,,,,,,,670,36,,,,,,,,,,,,,,,,,,94,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,53.4,1.44,9.88,6.01,0.07,12.8,4.86,1.9,6.54,0.98,238,709,2450,,,,,,,,,,575,30,,,,,,,,,,,,,,,,,,105,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,53.6,1.71,9.41,5.74,0.07,14.6,2.9,0.64,8.58,1.13,603,558,2040,,,,,,,,,,795,39,,,,,,,,,,,,,,,,,,107,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,54.6,1.75,9.52,5.66,0.07,13.3,2.87,0.69,8.86,0.95,541,526,2050,,,,,,,,,,680,32,,,,,,,,,,,,,,,,,,112,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.4,1.58,11,5.13,0.06,6.31,4.1,3.28,3.82,0.51,485,569,1580,,,,,,,,,,670,36,,,,,,,,,,,,,,,,,,107,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.8,1.52,10,5.37,0.07,12.3,3.41,1.18,8.78,0.98,539,828,1695,,,,,,,,,,700,39,,,,,,,,,,,,,,,,,,128,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.8,1.52,11.8,5.89,0.07,8.99,3.34,1.4,7.18,0.66,523,500,1350,,,,,,,,,,705,35,,,,,,,,,,,,,,,,,,112,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.9,1.88,9.27,5.69,0.06,11.2,2.72,1.75,8.75,0.88,503,608,1980,,,,,,,,,,980,50,,,,,,,,,,,,,,,,,,138,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.2,1.78,8.98,5.89,0.06,7.99,3.66,1.22,8.72,0.83,472,772,1965,,,,,,,,,,800,39,,,,,,,,,,,,,,,,,,132,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.3,1.94,9.6,5.54,0.05,7.45,3.65,1.57,8.49,0.91,465,654,2800,,,,,,,,,,1030,50,,,,,,,,,,,,,,,,,,159,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.4,1.46,12,5.85,0.07,9.27,2.87,1.36,6.84,0.75,496,528,1615,,,,,,,,,,630,35,,,,,,,,,,,,,,,,,,89,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.5,1.45,11.8,5.89,0.07,9.15,2.93,1.14,6.84,0.79,495,514,1450,,,,,,,,,,620,34,,,,,,,,,,,,,,,,,,90,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.8,1.52,12.1,6.36,0.06,3.24,3.54,1.66,8.34,1.34,451,898,2590,,,,,,,,,,550,39,,,,,,,,,,,,,,,,,,123,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,58.9,1.24,12.3,5.8,0.07,5.29,4.5,1.48,7.88,0.94,426,616,2075,,,,,,,,,,540,33,,,,,,,,,,,,,,,,,,139,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,59.5,1.47,11.9,5.55,0.07,8.59,2.26,1.23,8.28,0.56,569,426,1610,,,,,,,,,,790,37,,,,,,,,,,,,,,,,,,113,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,64.7,1.06,12.5,2.75,0.04,2.38,3.69,1.98,7.18,0.89,312,556,2100,,,,,,,,,,325,22,,,,,,,,,,,,,,,,,,78,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,66.5,1.45,9.82,3.59,0.03,2.68,2.25,1.11,7.34,0.54,466,447,1340,,,,,,,,,,610,33,,,,,,,,,,,,,,,,,,90,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,68,1.03,12.6,1.92,0.01,2.01,2.42,1.99,7.06,0.89,259,568,2040,,,,,,,,,,350,27,,,,,,,,,,,,,,,,,,85,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,68.5,1.01,12.3,2.13,0.03,1.73,2.32,2.01,7.28,0.91,331,508,1880,,,,,,,,,,360,25,,,,,,,,,,,,,,,,,,78,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.32,1.02,12.18,5.82,0.09,7.96,5.49,1.24,6.61,0.84,402,574,2052,22.7,24.5,144.6,778.7,,387,,,22.5,425.7,35.1,11.98,2.32,78.21,207.43,27.11,119.98,22.04,3.59,11.61,,5.46,,2.05,,1.7,0.24,88,99.57,21.08,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.35,1.61,9.19,4.97,0.06,8.93,4.05,0.99,7.52,1.13,404,571,1825,27.4,13.5,66.1,428,,336.8,,,26,886.1,55.4,25.1,3.9,87.76,239.92,34.31,156.69,30.29,5.05,15.34,,6.5,,2.25,,1.86,0.24,79,132.73,26.75,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.29,1.38,13.65,3.23,0.04,2.89,5.81,1.31,9.27,1.61,409,882,2756,11.3,22.3,112.1,522.1,,86.9,,,33.3,598.2,56,16.87,3.48,85.8,207.6,29.51,134.8,27.31,4.44,15.94,,7.94,,3.01,,2.72,0.37,112,112.42,22.53,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.9,1.46,10.94,5.92,0.11,8.64,2.76,0.93,8.52,0.75,660,471,1572,19.6,17.9,99,604.4,,360.9,,,30.1,992.4,56.9,27.6,3.92,95.2,258.6,36.09,159.81,29.63,4.61,15.31,,7.01,,2.76,,2.42,0.35,51,130.02,8.53,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,54.26,1.57,9.19,4.73,0.06,7.96,5.45,0.94,7.79,1.09,456,732,4187,27.5,15.2,80.6,525.7,,444,,,28.2,984.9,63.5,27.8,4.42,95.76,269.46,38.98,177.17,34.22,5.36,16.94,,7.1,,2.45,,1.97,0.27,,145.75,36.78,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,56.74,1.42,11.25,5.24,0.08,8.29,4.4,1.36,7.68,0.7,591,638,1154,,,98,439,,292,,,30,764,40,,,143,310,,,,,,,,,,,,,,115,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,57.18,1.42,11.15,5.29,0.08,8.2,4.4,1.34,7.84,0.69,597,641,1185,,,98,463,,299,,,30,777,40,,,143,321,,,,,,,,,,,,,,118,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,57.61,1.43,11.51,5.34,0.08,8.95,0.15,1.32,7.82,0.69,536,628,1198,,,96,449,,300,,,30,796,41,,,145,319,,,,,,,,,,,,,,119,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,57.69,1.43,11.18,5.41,0.08,8.2,3.64,1.5,7.42,0.75,445,649,1177,,,97,442,,297,,,29,787,40,,,141,309,,,,,,,,,,,,,,120,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,57.79,1.51,11.79,5.7,0.08,8.23,3.46,1.31,8.06,0.85,612,577,1400,25.2,19,116,500,28,280,50,80,24,749,39,21.4,2.9,148,352,47.4,193,26.9,4.3,14.4,1.3,5.2,0.89,2.4,0.3,1.9,0.2,30,119,14.9,21
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,58.01,1.5,11.7,5.7,0.09,8.27,3.53,1.44,7.95,0.79,583,628,1280,18,,99,449,,246,,,30,887,42,,,139,365,,,,,,,,,,,,,,100,17.3,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,58.11,1.42,11.82,5.27,0.07,8.7,3.56,1.35,7.92,0.69,609,613,1224,,17,100,449,31,274,,,32,797,41,20,3.1,141,338,,,28,3.8,,1.2,,,,,1.4,,,121,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,58.11,1.43,11.18,5.43,0.08,8.78,3.6,1.56,7.43,0.7,449,646,1175,,15,97,455,28,307,,,29,787,41,18,2.6,149,315,,,29,3.3,,1.1,,,,,1.9,,,109,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,58.43,1.49,11.46,5.58,0.08,7.96,3.56,1.4,7.96,0.77,453,635,1200,,,,,,284,,,29,796,45,,,142,320,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,58.54,1.58,12.18,5.59,0.09,5.98,3.53,1.18,8.3,0.66,632,540,1022,,,,,,113,,,38,878,49,,,173,344,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,59.51,1.5,11.26,5.48,0.06,7.14,3.48,1.22,7.53,0.71,576,541,1140,,,,,,238,,,26,842,45,,,144,331,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,57.79,1.51,11.79,5.67,0.08,8.23,3.46,1.31,8.06,0.85,651,522,1003,21.6,14.9,101.4,453.9,,280,,,17.7,569.2,36,16.17,1.98,103.36,284.49,35.13,146.36,20.46,2.99,8.73,,3.98,,1.6,,1.42,0.2,36.17,87.58,16.74,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,56.56,1.34,11.21,5.54,0.08,7.13,4.46,1.25,7.51,0.65,680,652,1204,18.4,19.3,115.3,484.4,,268.4,,,23.4,808.8,50.3,23.33,3.19,140.72,355.58,46.4,193.47,27.42,3.88,11.65,,5.36,,2.21,,1.9,0.28,39,123.38,18.93,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,56.48,1.34,11.23,5.54,0.08,7.18,4.43,1.26,7.51,0.65,655,601,1100,17.9,21,126.4,551.2,,263.7,,,22.2,738.7,44.6,21.06,2.6,129.78,336.13,43.48,183.22,25.61,3.62,11.19,,5.02,,2.07,,1.81,0.26,36,107.52,18.17,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,55.93,1.24,10.71,4.99,0.07,8.35,4.57,1.13,6.97,0.58,553,541,1033,,,,437,,344,,,19,681,35,,,,,,,,,,,,,,,,,33,95,15.9,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,55.29,1.11,10.6,4.09,0.06,11.78,6.9,0.82,7.17,1.12,371,245,780,,,,,,427,,,31,527,35,,,46,127,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,55.78,1.2,10.83,3.69,0.06,11.34,6.29,0.83,7.55,1.19,580,236,960,,,,,,349,,,32,513,35,,,61,164,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,55.88,1.52,12.23,6.99,0.09,7.48,3.29,1,7.83,1.32,712,434,1250,,20,121,425,31,159,,,31,521,35,14,2,83,215,,131,23,3.7,,1.4,,,,,1.9,0.3,,116,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,56.34,1.44,12.28,6.42,0.08,7.42,3.34,1.13,7.79,1.16,731,437,1190,,,,,,142,,,35,522,36,,,66,185,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,56.51,1.3,12.05,6.71,0.08,7.51,3.64,1.24,7.76,1.25,750,414,1220,,,,,,153,,,30,520,35,,,74,175,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,56.63,1.52,12.27,6.74,0.07,7.71,3.55,1.3,7.84,1.18,770,454,1200,,20,124,435,32,156,,,40,502,31,14,2.2,78,206,,130,25,3.8,,1.4,,,,,1.7,,,118,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,56.69,1.42,12.15,6.9,0.09,7.25,3.54,1.28,7.72,1.2,747,432,1230,,,,,,153,,,32,508,33,,,61,168,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,56.73,1.21,11.17,6.53,0.07,9.57,2.92,1.03,7.13,1.05,684,364,1070,,,,,,339,,,32,475,25,,,75,169,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,56.86,1.37,12.61,6.4,0.1,7.15,3.47,1.2,7.91,0.92,768,408,1370,14,20,137,380,27,140,340,90,28,491,30,13.4,2.2,79.8,206,29.8,133,23.5,4,13.6,1.3,5.9,0.99,2.7,0.4,2.2,0.3,19,112,18.2,21
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,56.92,1.2,12.41,6.26,0.08,7.27,3.44,1.05,7.76,1.13,716,424,1210,,,,,,151,,,31,521,35,,,74,175,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,58.02,1.33,11.74,6.28,0.07,7.45,2.99,1.35,7.54,1.1,742,388,1160,,,,,,141,,,33,487,26,,,74,161,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,62.04,0.95,13.3,4.76,0.06,4.24,2.17,1.82,8.91,0.6,874,362,760,,,,,,92,,,38,641,32,,,60,142,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,64.45,0.89,14.36,3.58,0.06,3.15,1.41,1.69,9.73,0.36,977,451,690,,8,63,105,10,52,,,39,698,37,15,2.4,60,145,,125,13.4,2.2,,0.8,,,,,1.4,0.3,,128,,
