Series,Location,Rock Type,K,Ti,Sr,P,Rb,Nb,Ba,Zr,Ce,Th,Y,La
Orogenic,Spain (Betics),Lamproite,-0.8929436028915744,-0.7670428570628759,0.31753590558719424,0.9622811668971641,-2.489047572094129,-0.18238029497175742,-0.16806953057203228,-0.12449019741227364,0.012093537004941986,1.43342664676158,0.8177274939904231,-0.10849697712315982
Orogenic,Spain (Betics),Lamproite,-0.8024077281375984,-0.7544219462293235,0.9552550238376789,1.471270520799632,-0.4833738412527489,0.20783110567076743,0.4113590682350502,0.03503635734032326,0.565168501751658,1.6327504484604163,1.4928133021318932,0.19213137499371072
Orogenic,Spain (Betics),Lamproite,0.034299411315408826,-0.6219940899074685,0.14798131488970936,0.936542191808724,0.16593742153076024,-0.10548742957222142,0.06271215177427714,0.03928277151141004,-0.004879706034126303,1.2308422551422762,1.2124144895603781,-0.31326860041577265
Orogenic,Spain (Betics),Lamproite,-0.04240345798343775,-0.7171658545246576,0.19214117310837703,0.8573865474056922,-0.9283310372099985,-0.2319561988322891,-0.062361973105318054,-0.12011709638863877,-0.08880739621081768,1.2709416186637736,0.8177274939904231,-0.3265816244838141
Orogenic,Spain (Betics),Lamproite,0.02673134897470804,-0.7419032301270386,0.8605676376952149,0.830327589598546,0.09074722640048807,-0.19782463358982408,0.264307692045455,-0.17135259048510057,0.21200823498252502,1.1758782404656536,0.8737961988863212,-0.09043838731503684
Orogenic,Spain (Betics),Lamproite,-0.9643955206997241,-0.7419032301270386,0.925952051932773,1.347083538463886,-1.5638544771665812,0.11857640186246654,0.12381907368526063,0.06700753722085158,0.5217627806724845,1.6036669933307346,1.5020845429640681,0.19045362893602263
Orogenic,Spain (Betics),Lamproite,-1.0667285051770572,-0.7294850670468962,0.3318093969954321,0.7470048034371928,-1.072384920550682,-0.010548276466203719,0.0951904821943046,-0.12668080314356417,0.2555922108584794,1.3480792747485983,0.9070021590056236,-0.10739962656861286
Orogenic,Spain (Betics),Lamproite,-0.3921753825402104,-0.3478263050990765,0.645160649507761,1.0622084591529866,-0.31912024942055833,-0.5655021344698403,0.09486067646287145,-0.17810928653629787,0.05287259690448083,1.2244396175625407,0.29341681076053416,-0.30623789879923846
Orogenic,Spain (Betics),Lamproite,1.0583897250426773,-0.24502964171176064,-1.289404922007592,0.14454806852004384,1.4684277571485793,-0.49786536321715497,-0.4831561280227709,0.2814220342456015,0.02048265603823592,1.1786580919738976,-0.7810865997972433,-0.45862889570151416
Orogenic,Spain (Betics),Lamproite,0.7257865738631385,-0.3381935450189242,-0.8138490514187684,0.16330881248820572,0.7372576942137943,-0.46858241409689905,-0.9841371098554152,-0.14956964059200506,-0.12900284236635642,0.969637081743925,-0.29447089963593975,-0.45722368890906295
Orogenic,Spain (Betics),Lamproite,0.8879977840247315,-0.2909099518267033,-1.3715869971108086,0.048158268037970554,1.4359180744288884,-0.04445212766882827,-0.48145108593064606,0.46385043088256833,0.0817237921561661,1.2056802925241086,0.019212794445905963,-0.45644362091551577
Orogenic,Spain (Betics),Lamproite,0.8415047216959394,-0.37709001140418025,-0.3338818606662228,0.2186107483382264,1.2324275270095173,-0.4028088523045249,-0.5851735626111592,0.17837983554828077,0.2264263968281192,1.3628828076194743,-0.12658458729726618,-0.19435861858277154
Orogenic,Spain (Betics),Lamproite,0.6614762578368549,-0.3672737689583942,-0.41087404311551395,0.20033730259045276,0.7875789481825068,-0.10548742957222142,-0.14300962209233758,0.4275548952676836,0.2225421988905467,1.342651469432435,0.7836404326840233,-0.16612912316972075
