mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.0454416751861573,0.03989898187179306,0.08355779647827148,0.009482974710255604,,sqrt,1,3,175,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 175}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.2980806827545166,0.0904468011011711,0.0953598976135254,0.009470543800060613,,sqrt,1,3,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0661431789398192,0.03193705054543231,0.08574728965759278,0.006401902091519993,20,log2,1,3,200,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.8034663200378418,0.05218393497418977,0.07109479904174805,0.012246499530081213,20,log2,1,3,175,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 175}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7233528614044189,0.018872806869343554,0.06907129287719727,0.01241497388441689,15,sqrt,1,3,175,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 175}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0603700160980225,0.05309431640552432,0.0854565143585205,0.004560682825987262,15,sqrt,1,3,200,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.8686356544494629,0.05612182501985074,0.07339358329772949,0.011783895691638648,20,sqrt,1,3,175,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 175}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.1261962413787843,0.10593000668093118,0.07597880363464356,0.008819763839238218,20,sqrt,1,3,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7721609592437744,0.04155507447288879,0.0660181999206543,0.0032884928141480477,10,sqrt,1,3,175,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 175}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.9718189716339112,0.00889932304699822,0.07416462898254395,0.008305625235434232,10,sqrt,1,3,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.3468842029571533,0.04268329999097395,0.09382457733154297,0.01284431480576399,15,log2,1,3,200,"{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.1920158863067627,0.057851462414983935,0.09616823196411133,0.008829810818445348,15,log2,1,3,175,"{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 175}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
