mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.5192777633666992,0.12087828278919878,0.1334362030029297,0.017076385391032293,,sqrt,1,3,175,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 175}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.9856597900390625,0.06156603080111696,0.15487232208251953,0.01074647663468666,,sqrt,1,3,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.9924633026123046,0.10487352214292885,0.17748351097106935,0.014997778571608295,20,log2,1,3,200,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.4183849334716796,0.08973398250936221,0.13049020767211914,0.010949698456434068,20,log2,1,3,175,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 175}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.6073735713958741,0.024196575973876686,0.12866268157958985,0.004022222023583911,15,sqrt,1,3,175,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 175}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.9340572834014893,0.0948850259864327,0.1550933837890625,0.014799543793405107,15,sqrt,1,3,200,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.4200605869293212,0.09157312633580371,0.11728949546813965,0.008813118146941667,20,sqrt,1,3,175,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 175}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.8697714805603027,0.09190580368364402,0.15388498306274415,0.014617105830415813,20,sqrt,1,3,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.7693284511566163,0.06250455034586704,0.15758137702941893,0.01266617115461348,10,sqrt,1,3,175,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 175}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.773731899261475,0.3658468238041686,0.3026547431945801,0.07108465119038113,10,sqrt,1,3,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9565217391304348,0.9611097067745197,0.023777088043071264,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
